0,0,130,130
70.078125,71.09375
128,128,0
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0.00012639932996007317
0,70,0.00017040581732020107
0,71,0.0002273758519840505
0,72,0.0003002787089859225
0,73,0.0003924867667529249
0,74,0.0005077451396143391
0,75,0.0006501099440313276
0,76,0.0008238499526900876
0,77,0.0010333078079332193
0,78,0.0012827191511229955
0,79,0.0015759909690842542
0,80,0.0019164440649032742
0,81,0.0023065286287486954
0,82,0.0027475261130173556
0,83,0.0032392546126661236
0,84,0.003779798260979077
0,85,0.004365283297589085
0,86,0.0049897240070899485
0,87,0.005644960314610571
0,88,0.006320705264050854
0,89,0.007004714903028941
0,90,0.007683085498036093
0,91,0.008340673985944196
0,92,0.008961627831389589
0,93,0.009530000861051456
0,94,0.010030423120056909
0,95,0.010448786253166597
0,96,0.010772902132413413
0,97,0.01099309197932207
0,98,0.01110266629836838
0,99,0.01109826242767668
0,100,0.010980015943131019
0,101,0.010751553725857933
0,102,0.010419809187666398
0,103,0.009994672788450629
0,104,0.009488502422737057
0,105,0.008915527481186833
0,106,0.008291186631675818
0,107,0.007631442160277405
0,108,0.0069521129718412315
0,109,0.006268264333552042
0,110,0.005593685719748576
0,111,0.00494047947468549
0,112,0.004318773368007817
0,113,0.0037365604075667584
0,114,0.0031996603435560113
0,115,0.0027117898293364537
0,116,0.0022747226618576445
0,117,0.0018885181317594942
0,118,0.001551794260764738
0,119,0.0012620233828981062
0,120,0.0010158297785737571
0,121,0.0008092724497711244
0,122,0.000638100154510345
0,123,0.00049797004805594
0,124,0.0003846253205603924
0,125,0.00029403078184172285
0,126,0.00022246823236285023
0,127,0.00016659558480734284
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,0
1,58,0
1,59,0
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,0.0001493330385025921
1,70,0.00020083463747125167
1,71,0.00026734441508187277
1,72,0.0003522509567012059
1,73,0.0004593890725210231
1,74,0.0005930010505856399
1,75,0.0007576620862210227
1,76,0.0009581642426515644
1,77,0.0011993549901728705
1,78,0.0014859289183906965
1,79,0.0018221745958005233
1,80,0.0022116826401338972
1,81,0.00265702562507819
1,82,0.0031594251351760483
1,83,0.0037184256451013842
1,84,0.004331598432076406
1,85,0.004994300905290593
1,86,0.005699517073461857
1,87,0.006437803003206853
1,88,0.007197356856008116
1,89,0.007964226469922186
1,90,0.008722658775322243
1,91,0.009455585167814392
1,92,0.010145226104861503
1,93,0.010773787612038057
1,94,0.011324213119800045
1,95,0.011780947101137699
1,96,0.012130663183401166
1,97,0.012362909333618471
1,98,0.012470626582710614
1,99,0.012450505379769541
1,100,0.01230315447759631
1,101,0.012033070325761152
1,102,0.011648409119318779
1,103,0.011160577629911596
1,104,0.010583671462424518
1,105,0.009933799327236434
1,106,0.009228338468872471
1,107,0.008485169083890999
1,108,0.007721934332722823
1,109,0.00695536772986072
1,110,0.006200721944480903
1,111,0.005471323259106792
1,112,0.0047782651427127855
1,113,0.004130243628086533
1,114,0.0035335273690050547
1,115,0.002992047127828028
1,116,0.0025075834989179593
1,117,0.0020800281304455067
1,118,0.0017076925330426547
1,119,0.0013876395076383192
1,120,0.0011160148764324219
1,121,0.0008883610574649517
1,122,0.0006998985554783141
1,123,0.0005457661524202479
1,124,0.0004212150487567102
1,125,0.000321756114378905
1,126,0.0002432625528391929
1,127,0.00018203257379387504
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0
2,50,0
2,51,0
2,52,0
2,53,0
2,54,0
2,55,0
2,56,0
2,57,0
2,58,0
2,59,0
2,60,0
2,61,0
2,62,0
2,63,0
2,64,0
2,65,0
2,66,0
2,67,0
2,68,0
2,69,0.00017665158704727085
2,70,0.00023696874403069578
2,71,0.00031466236172997096
2,72,0.00041359595762422666
2,73,0.000538125049942847
2,74,0.0006930480919040485
2,75,0.0008835165575947546
2,76,0.001114898155615387
2,77,0.0013925891632699055
2,78,0.0017217748381657039
2,79,0.0021071407360199715
2,80,0.0025525423893678297
2,81,0.003060645902214214
2,82,0.0036325571880525443
2,83,0.004267462317785766
2,84,0.0049623051802576545
2,85,0.005711530812998901
2,86,0.006506922815994199
2,87,0.007337560832543857
2,88,0.00818991898901868
2,89,0.009048118510469265
2,90,0.009894337844346962
2,91,0.010709372192500774
2,92,0.01147332228482976
2,93,0.012166380612799458
2,94,0.012769673329688421
2,95,0.013266108707770017
2,96,0.013641179318649667
2,97,0.013883665558736056
2,98,0.013986192965719988
2,99,0.01394560471024638
2,100,0.013763123012818146
2,101,0.013444287972037783
2,102,0.012998678078550341
2,103,0.012439432094384105
2,104,0.011782605606476843
2,105,0.011046406218067049
2,106,0.010250358147924592
2,107,0.009414449501034225
2,108,0.008558313636820069
2,109,0.007700490300472924
2,110,0.006857803266164539
2,111,0.00604488018737151
2,112,0.005273828303596234
2,113,0.004554067751788412
2,114,0.003892313485614296
2,115,0.003292688007711885
2,116,0.0027569407829905164
2,117,0.0022847465414147466
2,118,0.0018740536322100418
2,119,0.001521454858554341
2,120,0.0012225563334334953
2,121,0.0009723242890516793
2,122,0.0007653948573621753
2,123,0.0005963370721252372
2,124,0.0004598642658622561
2,125,0.0003509933078069435
2,126,0.00026515453889329433
2,127,0.00019825771682707705
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0
3,46,0
3,47,0
3,48,0
3,49,0
3,50,0
3,51,0
3,52,0
3,53,0
3,54,0
3,55,0
3,56,0
3,57,0
3,58,0
3,59,0
3,60,0
3,61,0
3,62,0
3,63,0
3,64,0
3,65,0
3,66,0
3,67,0
3,68,0
3,69,0.00020921692157370588
3,70,0.00027990471789262564
3,71,0.00037071068730470854
3,72,0.00048603525876751084
3,73,0.0006308189444071084
